source,target,relation,evidence_doc_id,weight
DIS-01,CROP-01,affectsCrop,DOC-DIS-001,1.0
DIS-02,CROP-01,affectsCrop,DOC-DIS-002,1.0
DIS-03,CROP-01,affectsCrop,DOC-DIS-003,1.0
DIS-04,CROP-01,affectsCrop,DOC-DIS-004,1.0
DIS-05,CROP-01,affectsCrop,DOC-DIS-005,1.0
DIS-06,CROP-01,affectsCrop,DOC-DIS-006,1.0
DIS-07,CROP-01,affectsCrop,DOC-DIS-007,1.0
DIS-08,CROP-01,affectsCrop,DOC-DIS-008,1.0
PST-01,DOC-PST-001,evidenceFrom,DOC-PST-001,1.0
PST-02,DOC-PST-002,evidenceFrom,DOC-PST-002,1.0
PST-03,DOC-PST-003,evidenceFrom,DOC-PST-003,1.0
PST-04,DOC-PST-004,evidenceFrom,DOC-PST-004,1.0
PST-05,DOC-PST-005,evidenceFrom,DOC-PST-005,1.0
PST-06,DOC-PST-006,evidenceFrom,DOC-PST-006,1.0
PST-07,DOC-PST-007,evidenceFrom,DOC-PST-007,1.0
PST-08,DOC-PST-008,evidenceFrom,DOC-PST-008,1.0
PST-09,DOC-PST-009,evidenceFrom,DOC-PST-009,1.0
PST-10,DOC-PST-010,evidenceFrom,DOC-PST-010,1.0
PST-11,DOC-PST-011,evidenceFrom,DOC-PST-011,1.0
PST-12,DOC-PST-012,evidenceFrom,DOC-PST-012,1.0
DIS-01,SYM-01,hasTypicalSymptom,DOC-DIS-001,1.0
DIS-01,SYM-02,hasTypicalSymptom,DOC-DIS-001,0.88
DIS-01,SYM-03,hasTypicalSymptom,DOC-DIS-001,0.76
DIS-01,SYM-04,hasTypicalSymptom,DOC-DIS-001,0.64
DIS-02,SYM-05,hasTypicalSymptom,DOC-DIS-002,1.0
DIS-02,SYM-03,hasTypicalSymptom,DOC-DIS-002,0.88
DIS-03,SYM-06,hasTypicalSymptom,DOC-DIS-003,1.0
DIS-03,SYM-07,hasTypicalSymptom,DOC-DIS-003,0.88
DIS-03,SYM-03,hasTypicalSymptom,DOC-DIS-003,0.76
DIS-04,SYM-08,hasTypicalSymptom,DOC-DIS-004,1.0
DIS-04,SYM-09,hasTypicalSymptom,DOC-DIS-004,0.88
DIS-04,SYM-03,hasTypicalSymptom,DOC-DIS-004,0.76
DIS-05,SYM-10,hasTypicalSymptom,DOC-DIS-005,1.0
DIS-05,SYM-11,hasTypicalSymptom,DOC-DIS-005,0.88
DIS-05,SYM-03,hasTypicalSymptom,DOC-DIS-005,0.76
DIS-06,SYM-12,hasTypicalSymptom,DOC-DIS-006,1.0
DIS-06,SYM-13,hasTypicalSymptom,DOC-DIS-006,0.88
DIS-06,SYM-03,hasTypicalSymptom,DOC-DIS-006,0.76
DIS-07,SYM-01,hasTypicalSymptom,DOC-DIS-007,1.0
DIS-07,SYM-14,hasTypicalSymptom,DOC-DIS-007,0.88
DIS-07,SYM-03,hasTypicalSymptom,DOC-DIS-007,0.76
DIS-08,SYM-15,hasTypicalSymptom,DOC-DIS-008,1.0
DIS-08,SYM-16,hasTypicalSymptom,DOC-DIS-008,0.88
DIS-01,PST-01,recommendedPesticide,DOC-PST-001,1.0
DIS-01,PST-02,recommendedPesticide,DOC-PST-002,0.8
DIS-01,PST-03,recommendedPesticide,DOC-PST-003,0.6
DIS-02,PST-04,recommendedPesticide,DOC-PST-004,1.0
DIS-02,PST-02,recommendedPesticide,DOC-PST-002,0.8
DIS-02,PST-05,recommendedPesticide,DOC-PST-005,0.6
DIS-03,PST-06,recommendedPesticide,DOC-PST-006,1.0
DIS-03,PST-07,recommendedPesticide,DOC-PST-007,0.8
DIS-03,PST-08,recommendedPesticide,DOC-PST-008,0.6
DIS-04,PST-02,recommendedPesticide,DOC-PST-002,1.0
DIS-04,PST-09,recommendedPesticide,DOC-PST-009,0.8
DIS-04,PST-03,recommendedPesticide,DOC-PST-003,0.6
DIS-05,PST-04,recommendedPesticide,DOC-PST-004,1.0
DIS-05,PST-10,recommendedPesticide,DOC-PST-010,0.8
DIS-05,PST-11,recommendedPesticide,DOC-PST-011,0.6
DIS-06,PST-06,recommendedPesticide,DOC-PST-006,1.0
