id,label,type,name,description
CROP-01,大豆,Crop,大豆,本教学数据集中的唯一作物，用于保持本体简单并突出不同检索范式。
REG-01,六合区,Region,六合区,江苏省南京市六合区
REG-02,浦口区,Region,浦口区,江苏省南京市浦口区
REG-03,高淳区,Region,高淳区,江苏省南京市高淳区
REG-04,江宁区,Region,江宁区,江苏省南京市江宁区
REG-05,溧水区,Region,溧水区,江苏省南京市溧水区
SYM-01,褐色近圆形病斑,Symptom,褐色近圆形病斑,叶片表面形成褐色或棕褐色、轮廓近似圆形的病斑。
SYM-02,病斑边缘深褐,Symptom,病斑边缘深褐,病斑外围颜色明显深于中心区域。
SYM-03,叶片黄化,Symptom,叶片黄化,病斑周围或整片叶片出现黄化。
SYM-04,提前落叶,Symptom,提前落叶,病情发展后叶片早于正常时期脱落。
SYM-05,灰白中心紫褐边缘,Symptom,灰白中心紫褐边缘,病斑中央灰白，外围呈紫褐色。
SYM-06,角斑水渍状,Symptom,角斑水渍状,病斑初期呈水渍状，受叶脉限制后形成角形。
SYM-07,黄色晕圈,Symptom,黄色晕圈,病斑外侧出现黄色或黄绿色晕圈。
SYM-08,叶面淡黄斑,Symptom,叶面淡黄斑,叶片正面出现边界不十分清晰的淡黄色斑块。
SYM-09,叶背灰白霉层,Symptom,叶背灰白霉层,叶片背面对应病斑处可见灰白色霉层。
SYM-10,叶背褐色小疱,Symptom,叶背褐色小疱,叶背形成细小、隆起的褐色疱状结构。
SYM-11,粉末状孢子,Symptom,粉末状孢子,病部破裂后散出粉末状孢子。
SYM-12,黑褐色凹陷斑,Symptom,黑褐色凹陷斑,病部形成黑褐色、略凹陷的坏死斑。
SYM-13,茎荚条状病斑,Symptom,茎荚条状病斑,茎或豆荚表面形成条状或不规则病斑。
SYM-14,同心轮纹,Symptom,同心轮纹,病斑内部形成多层同心环状纹理。
SYM-15,茎基部暗褐变,Symptom,茎基部暗褐变,靠近地面的茎基部出现暗褐色变色。
SYM-16,根系腐烂萎蔫,Symptom,根系腐烂萎蔫,根系腐烂，地上部表现为失水和萎蔫。
DIS-01,大豆褐斑病,Disease,大豆褐斑病,主要侵染大豆叶片，典型记录为褐色近圆形病斑，病斑边缘颜色较深，严重时可引起黄化和提前落叶。
DIS-02,大豆灰斑病,Disease,大豆灰斑病,典型病斑中央灰白，外围常见紫褐色边缘，可伴随叶片黄化。
DIS-03,大豆细菌性斑点病,Disease,大豆细菌性斑点病,常表现为水渍状角斑，病斑外侧可出现黄色晕圈；少数模拟病例记录为近圆形褐斑，用作困难负例。
DIS-04,大豆霜霉病,Disease,大豆霜霉病,叶片正面出现淡黄斑，叶背对应区域形成灰白色霉层。
DIS-05,大豆锈病,Disease,大豆锈病,叶背出现褐色小疱，疱状结构破裂后可见粉末状孢子。
DIS-06,大豆炭疽病,Disease,大豆炭疽病,茎、叶柄或豆荚形成黑褐色凹陷斑和条状病斑。
DIS-07,大豆靶斑病,Disease,大豆靶斑病,可形成褐色近圆形病斑，但病斑内部更常出现明显同心轮纹，是与大豆褐斑病区分的重要关系。
